hogar,sexo,edad,dia_laborable,trabajo_pago,trabajo_domestico_no_pago,voluntariados,estudio_educacion,recreacion,aplicaciones,tareas_cuidados,cuidado_personal,trabajo_pago2,trabajo_domestico_no_pago2,voluntariados2,estudio_educacion2,recreacion2,aplicaciones2,tareas_cuidados2,cuidado_personal2,dia_tipico,rango_etario,nivel_educativo,relacion_parentesco_jefe,tipo_hogar,quintil_ingreso,estado_ocupacional
1868_1,Varon,68,Día no laborable,0.0,3.5,0.0,0.0,5.0,5.5,0.0,10.3,0.0,3.5,0.0,0.0,4.9,5.5,0.0,10.1,Día atípico,65+,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Inactivo
1869_1,Mujer,68,Día no laborable,0.0,2.0,3.0,0.0,3.0,2.3,0.0,13.7,0.0,2.0,3.0,0.0,3.0,2.3,0.0,13.7,Día atípico,65+,Secundario incompleto,Jefe,Unipersonal,5to quintil,Inactivo
1870_1,Mujer,68,Día no laborable,0.0,12.7,0.0,0.0,0.3,0.0,0.0,11.5,0.0,12.7,0.0,0.0,0.3,0.0,0.0,11.0,Día atípico,65+,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado
1871_1,Mujer,68,Día no laborable,0.0,4.0,0.0,0.0,1.0,6.0,0.0,14.0,0.0,4.0,0.0,0.0,0.5,6.0,0.0,13.5,Día atípico,65+,Secundario incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Inactivo
1872_1,Mujer,68,Día laborable,7.3,5.8,0.0,0.0,8.5,0.0,0.0,4.0,7.3,5.7,0.0,0.0,7.8,0.0,0.0,3.3,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado
1873_1,Mujer,68,Día no laborable,0.0,0.7,0.0,0.0,12.8,1.5,0.0,11.8,0.0,0.4,0.0,0.0,11.4,1.5,0.0,10.7,Día atípico,65+,Secundario incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Inactivo
1874_1,Varon,68,Día no laborable,0.0,4.5,0.0,0.0,5.4,4.3,0.0,12.6,0.0,4.4,0.0,0.0,4.1,4.3,0.0,11.2,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Inactivo
1875_1,Mujer,68,Día laborable,4.0,2.7,0.3,0.0,2.0,2.5,0.0,12.6,4.0,2.7,0.3,0.0,2.0,2.5,0.0,12.6,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado
1876_1,Mujer,68,Día laborable,5.5,2.0,0.0,0.0,4.0,2.8,0.0,9.7,5.5,2.0,0.0,0.0,4.0,2.8,0.0,9.7,Día atípico,65+,Secundario completo/Superior incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado
1877_1,Varon,68,Día laborable,6.3,0.0,0.0,0.0,5.7,2.5,0.0,11.2,6.3,0.0,0.0,0.0,4.8,2.5,0.0,10.3,Día atípico,65+,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado
1878_1,Varon,68,Día no laborable,0.0,3.7,0.0,0.0,7.5,2.8,0.0,11.6,0.0,3.7,0.0,0.0,6.7,2.8,0.0,10.8,Día atípico,65+,Secundario completo/Superior incompleto,Otro,Otro,5to quintil,Ocupado
1879_1,Varon,68,Día laborable,12.7,1.7,0.0,0.0,0.2,0.0,0.0,9.7,12.7,1.7,0.0,0.0,0.1,0.0,0.0,9.6,Día atípico,65+,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado
1880_1,Mujer,68,Día no laborable,0.0,5.0,0.0,0.0,6.2,2.7,0.0,12.2,0.0,5.0,0.0,0.0,5.2,2.7,0.0,11.2,Día atípico,65+,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Inactivo
1881_1,Mujer,68,Día no laborable,0.0,1.3,0.0,0.0,1.8,8.5,0.0,12.5,0.0,1.3,0.0,0.0,1.8,8.5,0.0,12.5,Día atípico,65+,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado
1882_1,Varon,68,Día no laborable,0.0,1.0,0.0,2.0,9.0,0.0,0.0,13.5,0.0,1.0,0.0,2.0,8.3,0.0,0.0,12.8,Día atípico,65+,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Inactivo
1883_1,Mujer,68,Día laborable,6.5,4.7,0.0,0.0,4.0,0.5,0.0,11.3,6.5,4.7,0.0,0.0,2.5,0.5,0.0,9.8,Día atípico,65+,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado
